time,pwm_r,pwm_l
2.263099975585937500e+02,8.404286193847656250e+01,6.595713806152343750e+01
2.263199920654296875e+02,8.404270935058593750e+01,6.595729064941406250e+01
2.263300018310546875e+02,8.404255676269531250e+01,6.595743560791015625e+01
2.263399963378906250e+02,8.404241180419921875e+01,6.595758819580078125e+01
2.263499908447265625e+02,8.404226684570312500e+01,6.595773315429687500e+01
2.263600006103515625e+02,8.404211425781250000e+01,6.595788574218750000e+01
2.263699951171875000e+02,8.404196166992187500e+01,6.595803833007812500e+01
2.263799896240234375e+02,8.404181671142578125e+01,6.595819091796875000e+01
2.263899993896484375e+02,8.404166412353515625e+01,6.595833587646484375e+01
2.263999938964843750e+02,8.404151153564453125e+01,6.595848846435546875e+01
2.264099884033203125e+02,8.404135894775390625e+01,6.595863342285156250e+01
2.264199981689453125e+02,8.404121398925781250e+01,6.595878601074218750e+01
2.264299926757812500e+02,8.404106140136718750e+01,6.595893859863281250e+01
2.264400024414062500e+02,8.404091644287109375e+01,6.595908355712890625e+01
2.264499969482421875e+02,8.404077148437500000e+01,6.595923614501953125e+01
2.264599914550781250e+02,8.404061889648437500e+01,6.595938110351562500e+01
2.264700012207031250e+02,8.404046630859375000e+01,6.595953369140625000e+01
2.264799957275390625e+02,8.404031372070312500e+01,6.595967864990234375e+01
2.264899902343750000e+02,8.404016876220703125e+01,6.595983123779296875e+01
2.265000000000000000e+02,8.404001617431640625e+01,6.595998382568359375e+01
2.265099945068359375e+02,8.403986358642578125e+01,6.596013641357421875e+01
2.265199890136718750e+02,8.403971862792968750e+01,6.596028137207031250e+01
2.265299987792968750e+02,8.403957366943359375e+01,6.596043395996093750e+01
2.265399932861328125e+02,8.403942108154296875e+01,6.596057891845703125e+01
2.265499877929687500e+02,8.403926849365234375e+01,6.596072387695312500e+01
2.265599975585937500e+02,8.403911590576171875e+01,6.596087646484375000e+01
2.265699920654296875e+02,8.403897094726562500e+01,6.596102905273437500e+01
2.265800018310546875e+02,8.403881835937500000e+01,6.596118164062500000e+01
2.265899963378906250e+02,8.403866577148437500e+01,6.596132659912109375e+01
2.265999908447265625e+02,8.403852844238281250e+01,6.596147918701171875e+01
2.266100006103515625e+02,8.403837585449218750e+01,6.596162414550781250e+01
2.266199951171875000e+02,8.403822326660156250e+01,6.596177673339843750e+01
2.266299896240234375e+02,8.403807830810546875e+01,6.596192932128906250e+01
2.266399993896484375e+02,8.403792572021484375e+01,6.596207427978515625e+01
2.266499938964843750e+02,8.403777313232421875e+01,6.596222686767578125e+01
2.266599884033203125e+02,8.403762054443359375e+01,6.596237182617187500e+01
2.266699981689453125e+02,8.403748321533203125e+01,6.596252441406250000e+01
2.266799926757812500e+02,8.403733062744140625e+01,6.596266937255859375e+01
2.266900024414062500e+02,8.403717803955078125e+01,6.596282196044921875e+01
2.266999969482421875e+02,8.403702545166015625e+01,6.596297454833984375e+01
2.267099914550781250e+02,8.403688049316406250e+01,6.596311950683593750e+01
2.267200012207031250e+02,8.403672790527343750e+01,6.596327209472656250e+01
2.267299957275390625e+02,8.403657531738281250e+01,6.596341705322265625e+01
2.267399902343750000e+02,8.403643035888671875e+01,6.596356964111328125e+01
2.267500000000000000e+02,8.403628540039062500e+01,6.596371459960937500e+01
2.267599945068359375e+02,8.403613281250000000e+01,6.596386718750000000e+01
2.267699890136718750e+02,8.403598785400390625e+01,6.596401977539062500e+01
2.267799987792968750e+02,8.403583526611328125e+01,6.596416473388671875e+01
2.267899932861328125e+02,8.403568267822265625e+01,6.596431732177734375e+01
2.267999877929687500e+02,8.403553009033203125e+01,6.596446228027343750e+01
2.268099975585937500e+02,8.403538513183593750e+01,6.596461486816406250e+01
2.268199920654296875e+02,8.403523254394531250e+01,6.596476745605468750e+01
2.268300018310546875e+02,8.403507995605468750e+01,6.596492004394531250e+01
2.268399963378906250e+02,8.403494262695312500e+01,6.596506500244140625e+01
2.268499908447265625e+02,8.403479003906250000e+01,6.596520996093750000e+01
2.268600006103515625e+02,8.403463745117187500e+01,6.596536254882812500e+01
2.268699951171875000e+02,8.403448486328125000e+01,6.596550750732421875e+01
2.268799896240234375e+02,8.403433990478515625e+01,6.596566009521484375e+01
2.268899993896484375e+02,8.403418731689453125e+01,6.596581268310546875e+01
2.268999938964843750e+02,8.403403472900390625e+01,6.596596527099609375e+01
2.269099884033203125e+02,8.403389739990234375e+01,6.596611022949218750e+01
2.269199981689453125e+02,8.403374481201171875e+01,6.596625518798828125e+01
2.269299926757812500e+02,8.403359222412109375e+01,6.596640777587890625e+01
2.269400024414062500e+02,8.403343963623046875e+01,6.596656036376953125e+01
2.269499969482421875e+02,8.403329467773437500e+01,6.596670532226562500e+01
2.269599914550781250e+02,8.403314208984375000e+01,6.596685791015625000e+01
2.269700012207031250e+02,8.403298950195312500e+01,6.596700286865234375e+01
2.269799957275390625e+02,8.403285217285156250e+01,6.596715545654296875e+01
2.269899902343750000e+02,8.403269958496093750e+01,6.596730041503906250e+01
2.270000000000000000e+02,8.403254699707031250e+01,6.596745300292968750e+01
2.270099945068359375e+02,8.403240203857421875e+01,6.596760559082031250e+01
2.270199890136718750e+02,8.403224945068359375e+01,6.596775054931640625e+01
2.270299987792968750e+02,8.403209686279296875e+01,6.596790313720703125e+01
2.270399932861328125e+02,8.403194427490234375e+01,6.596804809570312500e+01
2.270499877929687500e+02,8.403179931640625000e+01,6.596820068359375000e+01
2.270599975585937500e+02,8.403164672851562500e+01,6.596835327148437500e+01
2.270699920654296875e+02,8.403150177001953125e+01,6.596849822998046875e+01
2.270800018310546875e+02,8.403135681152343750e+01,6.596865081787109375e+01
2.270899963378906250e+02,8.403120422363281250e+01,6.596879577636718750e+01
2.270999908447265625e+02,8.403105163574218750e+01,6.596894073486328125e+01
2.271100006103515625e+02,8.403090667724609375e+01,6.596909332275390625e+01
2.271199951171875000e+02,8.403075408935546875e+01,6.596924591064453125e+01
2.271299896240234375e+02,8.403060150146484375e+01,6.596939086914062500e+01
2.271399993896484375e+02,8.403046417236328125e+01,6.596953582763671875e+01
2.271499938964843750e+02,8.403031158447265625e+01,6.596968841552734375e+01
2.271599884033203125e+02,8.403015899658203125e+01,6.596984100341796875e+01
2.271699981689453125e+02,8.403001403808593750e+01,6.596998596191406250e+01
2.271799926757812500e+02,8.402986145019531250e+01,6.597013854980468750e+01
2.271900024414062500e+02,8.402970886230468750e+01,6.597028350830078125e+01
2.271999969482421875e+02,8.402956390380859375e+01,6.597043609619140625e+01
2.272099914550781250e+02,8.402941894531250000e+01,6.597058105468750000e+01
2.272200012207031250e+02,8.402926635742187500e+01,6.597073364257812500e+01
